VacunacionId,VacunacionFecha,hora,VacunacionContra,timestamp,vacunaNombre,VacunaMarca,temperatura,peso,referencia,notaCaja,timestamp,timestamp,VacunacionMascotaId,referenciaId
17593,2020-07-22,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4221,2
17594,2020-07-01,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4221,2
17595,2020-04-21,00:00:00,DP A163B03 03/213.1kg,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4229,2
17596,2020-05-12,00:00:00,DHPPi A561B02 02/21 5.9kg,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4229,2
17597,2020-06-06,00:00:00,DHPPi A561B02 02/21Lepto A432B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4229,2
17598,2020-06-26,00:00:00,DHPPi A561B02 02/21Lepto A432B02 2/2116.4kg,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4229,2
17599,2020-07-24,00:00:00,Rabia A508A01 11/22,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4229,2
17600,2020-07-24,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4230,2
17601,2020-07-24,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4244,2
17602,2020-07-24,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4248,2
17603,2019-10-17,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3111,2
17604,2020-01-07,00:00:00,sin detalles,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3111,2
17605,2020-06-02,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4255,2
17606,2020-06-23,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4255,2
17608,2020-07-24,00:00:00,DHPPi A561B02 02/21Lepto A43A01 10/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4255,2
17609,2020-08-26,00:00:00,sin detalles,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4255,2
17610,2020-06-08,00:00:00,Hexadog L471545  2/4/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3558,2
17611,2020-07-07,00:00:00,C4/CV,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4258,2
17612,2020-07-25,00:00:00,1Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4268,2
17613,2020-07-25,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4269,2
17614,2020-07-25,00:00:00,RCP L475349 11/4/21Rabia L472793 29/10/20,2000-01-01 00:00:00,RCP + RABIA,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4283,2
17615,2020-07-27,00:00:00,DHPPi A561B02 02/21Lepto A43A01 10/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4287,2
17616,2020-07-27,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4293,2
17617,2020-07-27,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4297,2
17618,2019-07-27,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,1396,2
17619,2020-01-03,00:00:00,sin detalles,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,1396,2
17620,2020-07-27,00:00:00,DHPPi A561B02 02/21Lepto A43A01 10/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,1396,2
17621,2020-07-27,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4302,2
17622,2020-06-09,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4307,2
17623,2020-06-30,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4307,2
17624,2020-07-27,00:00:00,DHPPi A561B02 02/21Lepto A432B02 02/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4307,2
17625,2020-08-27,00:00:00,al aï¿½o HEXADOG,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4307,2
17626,2020-07-28,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4325,2
17627,2020-06-20,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4326,2
17628,2020-07-07,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4326,2
17629,2020-07-28,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4326,2
17630,2020-03-31,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4332,2
17631,2020-04-20,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4332,2
17632,2020-05-13,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4332,2
17633,2020-06-03,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4332,2
17634,2020-06-17,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4342,2
17635,2020-07-07,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4342,2
17636,2020-07-28,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4342,2
17637,2020-06-26,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4344,2
17638,2020-07-28,00:00:00,DHPPi A561B02 02/21Proxima HEXADOG,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4344,2
17639,2020-07-08,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4348,2
17640,2020-07-29,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4348,2
17641,2020-06-11,00:00:00,RCP L475349 11/4/21,2000-01-01 00:00:00,TRICAT,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4359,2
17642,2020-07-29,00:00:00,RCP L475349 11/4/21Rabia L472793 29/10/20,2000-01-01 00:00:00,RCP + RABIA,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4359,2
17643,2020-07-29,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4375,2
17644,2020-07-08,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4375,2
17645,2020-07-29,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4375,2
17646,2020-07-06,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4285,2
17647,2020-07-29,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4285,2
17648,2020-06-17,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4423,2
17649,2020-07-08,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4423,2
17650,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4423,2
17651,2020-07-10,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4425,2
17652,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4425,2
17653,2020-07-31,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4426,2
