id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
76,CANELA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,83,18,326,1
77,PATAN,MACHO,1999-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,84,1,361,1
78,BAYRON,MACHO,2008-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,84,1,324,1
79,CACUS,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,85,3,124,1
80,DAMA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,4,45,1
81,OTTO,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,18,241,1
82,PUMA,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,83,1,500,1
83,GATO,HEMBRA CASTRADA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,20,201,2
84,TOMY,MACHO,1996-09-18T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,94,6,79,1
85,PEPE,MACHO,2003-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,95,3,344,2
86,LEON,MACHO CASTRADO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,1,500,2
87,GALATEA,HEMBRA,2000-01-08T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,96,1,79,1
88,MESTIZA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,96,30,326,1
89,FREUD,MACHO,2005-09-23T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,96,6,79,1
