MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9205,INTI,masculino,2022-01-05,1000-01-01,sin observaciones,false,8050,10,2,2
9206,FREDDY,masculino,2011-06-05,1000-01-01,sin observaciones,false,7310,2,2,2
9207,FLAQUI,femenino,2019-02-05,1000-01-01,sin observaciones,false,4411,42,2,2
9208,NINA,femenino,2016-07-16,1000-01-01,sin observaciones,false,3243,1,1,1
9209,GLOTON,masculino,2023-03-02,1000-01-01,sin observaciones,false,8051,10,16,1
9210,FUFU,masculino,2023-03-01,1000-01-01,sin observaciones,false,8052,10,196,17
9211,YOIA,femenino,2016-04-05,1000-01-01,sin observaciones,false,8053,9,17,1
9212,MURSI,masculino,2018-04-05,1000-01-01,sin observaciones,false,8053,24,1,1
9213,BILU,femenino,2017-06-05,1000-01-01,sin observaciones,false,8054,5,115,1
9214,DANA,femenino,2008-04-15,1000-01-01,sin observaciones,false,8055,8,16,1
9215,INDIA,femenino,2006-06-05,1000-01-01,sin observaciones,false,8056,2,17,1
9216,SALVADOR,masculino,1000-01-01,1000-01-01,sin observaciones,false,3567,30,1,1
9217,MILO,masculino,2017-06-10,1000-01-01,sin observaciones,false,7701,39,3,2
9218,MIMI,femenino,1000-01-01,1000-01-01,sin observaciones,false,7701,28,2,2
9219,LUNA,femenino,1000-01-01,1000-01-01,sin observaciones,false,7701,22,2,2
9220,CUERVITO,masculino,1000-01-01,1000-01-01,sin observaciones,false,7701,2,2,2
9221,LUZ,femenino,1000-01-01,1000-01-01,sin observaciones,false,7701,22,2,2
9222,ROCCO,masculino,2022-11-24,1000-01-01,sin observaciones,false,8057,23,117,1
9223,NINA,femenino,2023-02-14,1000-01-01,sin observaciones,false,4474,85,2,2
9224,ATILA,femenino,2023-02-01,1000-01-01,sin observaciones,false,8058,6,141,1
9225,CANELA,femenino,2013-06-07,1000-01-01,sin observaciones,false,8059,72,1,1
9226,MARILU,femenino,2022-10-07,1000-01-01,sin observaciones,false,1834,63,186,14
9227,KIBA,femenino,2015-09-06,1000-01-01,sin observaciones,false,8060,6,18,1
9228,LOLA,femenino,2022-10-01,1000-01-01,sin observaciones,false,6124,14,2,2
9229,VINO,masculino,2014-06-07,2023-06-07,sin observaciones,false,8061,24,1,1
9230,KAYRA,femenino,2023-02-24,1000-01-01,sin observaciones,false,1014,1,109,1
9231,CHULETA,femenino,1000-01-01,1000-01-01,sin observaciones,false,2137,1,1,1
9232,MICHI,femenino,2022-06-08,1000-01-01,sin observaciones,false,1602,85,2,2
9233,LOLA,femenino,2013-06-08,1000-01-01,sin observaciones,false,8062,8,16,1
9234,MAXINE,femenino,2023-04-01,1000-01-01,sin observaciones,false,8063,2,1,1
9235,BOMBON,masculino,2016-04-28,1000-01-01,sin observaciones,false,8064,6,76,1
9236,ROMA,femenino,2023-03-01,1000-01-01,sin observaciones,false,8065,1,128,1
9237,LUPI,masculino,2008-05-18,1000-01-01,sin observaciones,false,8066,5,43,1
9238,NALA,femenino,2023-04-07,1000-01-01,sin observaciones,false,8066,9,27,1
9239,LORENZO,masculino,2011-06-09,1000-01-01,sin observaciones,false,1394,44,66,1
9240,TINA,femenino,2013-06-09,1000-01-01,sin observaciones,false,3971,2,2,2
9241,CACHORRO,femenino,2023-05-28,1000-01-01,sin observaciones,false,1794,3,206,1
9242,MISHUBISHI,masculino,2018-06-09,1000-01-01,sin observaciones,false,3363,35,2,2
9243,MILO,masculino,2023-03-31,1000-01-01,sin observaciones,false,8067,16,116,1
9244,BEETLE,masculino,2019-06-09,1000-01-01,sin observaciones,false,8068,30,183,17
9245,STORMY,masculino,2022-12-10,1000-01-01,sin observaciones,false,8069,15,2,2
9246,KISS,masculino,2022-11-10,1000-01-01,sin observaciones,false,8070,15,2,2
