id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
93,DINO,MACHO,2005-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
94,BELLA,HEMBRA,2002-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
95,BARGOUT,HEMBRA,2001-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,39,9,333,1
96,ORIANA,HEMBRA,2008-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,40,3,333,1
97,BONBONA,HEMBRA,2009-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,41,1,32,1
98,ICRA,HEMBRA,2001-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,3,163,1
99,NEGRO,MACHO,2007-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,3,330,1
100,STANDFORD,MACHO,2008-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,43,18,251,1
101,PELUSA,HEMBRA,2007-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,43,1,197,1
102,CLIFORD,MACHO,2008-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,43,1,197,1
103,LUNA,HEMBRA ENTERA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,44,24,340,1
104,JUANA,HEMBRA,2002-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,344,2
105,WIZZY,HEMBRA,2009-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,79,1,267,1
106,TANA,HEMBRA,2006-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,80,3,45,1
107,MAX,MACHO,2007-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,81,10,330,1
108,PINKI,HEMBRA,2007-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,81,1,344,2
109,LADY,HEMBRA,2010-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,118,1,334,1
110,BENITO,MACHO CASTRADO,2008-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,82,1,344,2
111,JULIANA,HEMBRA,2008-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,299,1,500,1
112,TOBI,MACHO,2008-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,81,1,358,1
113,REINA,HEMBRA,2011-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,300,7,326,1
114,YUMA,HEMBRA,2011-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,83,7,338,1
115,MAGGIE,HEMBRA,2006-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,500,1
116,FATIGA,MACHO,2006-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,374,1
117,PATAN,MACHO,2010-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,84,1,361,1
118,SIMBA,MACHO,2003-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,303,2,330,1
119,BAYRON,MACHO,2010-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,84,1,324,1
120,ZAPIC?N,MACHO,2006-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,304,16,338,1
121,CACUS,MACHO,2003-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,85,3,124,1
122,OSITO,MACHO,2010-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,305,1,79,1
123,CHENGUE,MACHO,2009-10-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,119,1,338,1
124,DAMA,HEMBRA,2010-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,86,4,45,1
125,KITTY,HEMBRA,2011-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,306,1,124,1
126,SERAF?N,MACHO,2008-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,120,1,79,1
127,BUJIA,HEMBRA,2011-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,306,24,124,1
128,OTTO,MACHO,2010-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,86,18,500,1
129,FACUNDO,MACHO,2011-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,306,24,124,1
