id,nombre,sexo,nacimiento,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
115,LOBO,Macho,2015-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1415,3,31,1
116,SOL,Hembra,2017-10-16,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1624,1,119,2
117,Mixu,Macho,2013-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1415,1,31,1
118,LUNA,Hembra,2017-10-16,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1624,1,119,2
119,THOR,Macho,2018-01-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,3,31,1
120,PAUL,Macho,2015-05-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1638,11,10,1
121,SKY,Hembra,2018-01-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,3,31,1
122,LOLITA,Hembra,2012-09-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1640,1,31,1
123,TOMMY,Macho,2017-10-15,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,11,10,1
124,kimba,Hembra,2008-01-01,2020-01-11,"Sin observaciones",0000000000,FALSE,TRUE,1640,1,20,1
125,BRUNO,Macho,2015-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,1,31,1
126,Negro,Macho,2005-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1640,1,31,1
127,RUBY,Hembra,2016-01-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1643,23,5,1
128,LIO,Macho,2015-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,9,31,1
129,MICHAEL,Macho,2018-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1652,3,136,2
130,TEO,Macho,2015-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,3,31,1
131,TAYSON,Macho,2016-09-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1655,3,31,1
132,Shet,Macho,2020-08-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1427,10,136,2
133,LOLA,Hembra,2016-07-19,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1655,30,23,1
134,EMMA,Hembra,2015-08-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1450,9,28,1
135,MACA,Hembra,2007-10-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1658,11,10,1
136,OLIVIA,Hembra,2016-06-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1450,9,28,1
137,LULU,Hembra,2013-03-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1661,4,124,2
138,BUDA,Macho,2000-08-10,2021-02-02,"Sin observaciones",0000000000,FALSE,TRUE,1265,11,10,1
139,BRUTUS,Macho,2015-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1697,1,39,1
140,ODIN,Macho,2012-04-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1268,11,8,1
141,CUBA,Hembra,2018-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1697,23,31,1
142,XXX,Hembra,2017-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1277,1,31,1
143,CHESS,Macho,2018-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1700,1,28,1
144,LOLA,Hembra,2004-01-08,2018-10-12,"Sin observaciones",0000000000,FALSE,TRUE,1703,11,31,1
145,TOMMY,Macho,2000-03-10,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1279,9,28,1
146,ARIA,Hembra,2016-08-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1710,3,31,1
147,ELIOT,Macho,2004-04-07,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1720,4,28,1
148,ROMA,Hembra,2013-01-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1721,11,17,1
149,BLANQUITA,Hembra,2018-01-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1722,1,31,1
150,BALI,Hembra,2018-03-20,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1723,11,31,1
151,Tota,Hembra,2011-04-26,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1723,1,17,1
