id,nombre,descripcion,especieId
227,SPANIEL (DE CAMPO),Sin descripcion,1
228,ESTRELA MOUNTAIN DOG,Sin descripcion,1
229,SPANIEL (IRLANDES DE AGUAS),Sin descripcion,1
230,EUROPEO,Sin descripcion,2
231,SPANIEL (KING CHARLES),Sin descripcion,1
232,EXMOOR,Sin descripcion,3
233,SPANIEL (SPRINGER INGLES),Sin descripcion,1
234,SPANIEL (SUSSEX),Sin descripcion,1
235,FALABELLA,Sin descripcion,3
236,SPANIEL (TIBETANO),Sin descripcion,1
237,FARAONHOUND,Sin descripcion,1
238,SPANIEL (TOY INGLES),Sin descripcion,1
239,FELL,Sin descripcion,3
240,SPANIEL (WELSH SPRINGER),Sin descripcion,1
241,FILA BRASILENO,Sin descripcion,1
242,SPINONE ITALIANO,Sin descripcion,1
243,FJORD,Sin descripcion,3
244,SPITZ ALEMAN (KLEIN),Sin descripcion,1
245,SPITZ ALEMAN (MITTEL),Sin descripcion,1
246,FOX TERRIER (PELO DE ALAMBRE),Sin descripcion,1
247,SPITZ FINES,Sin descripcion,1
248,FOX TERRIER (PELO LISO),Sin descripcion,1
249,SPITZ JAPONES,Sin descripcion,1
250,FOX TROTTER MISOURI,Sin descripcion,3
251,STAFFORDSHIRE BULL TERRIER,Sin descripcion,1
252,FOXHOUND AMERICANO,Sin descripcion,1
253,SUECO DEL NORTE,Sin descripcion,3
254,FOXHOUND INGLES,Sin descripcion,1
255,SUECO SANGRE CALIENTE,Sin descripcion,3
256,FREDERIKSBORG,Sin descripcion,3
257,FREIBERGER,Sin descripcion,3
258,FRISON,Sin descripcion,3
259,SUIZO SANGRE CALIENTE,Sin descripcion,3
260,TARPAN,Sin descripcion,3
261,TERRANOVA,Sin descripcion,1
262,GALGO ITALIANO,Sin descripcion,1
263,TERRIER AUSTRALIANO,Sin descripcion,1
264,GANADERO AUSTRALIANO (HEELER),Sin descripcion,1
265,GELDERLAND,Sin descripcion,3
266,GIGANTE DE LOS PIRINEOS,Sin descripcion,1
267,TERRIER ESCOCES,Sin descripcion,1
268,GOTLAND,Sin descripcion,3
269,TERRIER INGLES TOY,Sin descripcion,2
270,TERRIER IRLANDES,Sin descripcion,1
271,TERRIER TIBETANO,Sin descripcion,1
272,TERRIER TRIGUENO (PELO SUAVE),Sin descripcion,1
273,GRAN DANES,Sin descripcion,1
274,TERSK,Sin descripcion,3
275,GREYHOUND,Sin descripcion,1
276,TIRO DANES,Sin descripcion,3
277,GRIFON (PELO DURO),Sin descripcion,1
278,TIRO DE SCHLESWIG,Sin descripcion,3
279,GRIFON DE BRUSELAS,Sin descripcion,1
280,TIRO HOLANDES,Sin descripcion,3
281,GRONINGEN,Sin descripcion,3
282,HABANA,Sin descripcion,2
283,HABANERO,Sin descripcion,1
284,TIRO IRLANDES,Sin descripcion,3
285,HACKNEY,Sin descripcion,3
286,TIRO PESADO DEL RIN,Sin descripcion,3
287,TORIC,Sin descripcion,3
288,TOSA JAPONES,Sin descripcion,1
289,TRAKHNER,Sin descripcion,3
290,HAFLINGER,Sin descripcion,3
291,TROTON DE ORLOV,Sin descripcion,3
292,HANNOVERIANO,Sin descripcion,3
293,TROTON FRANCES,Sin descripcion,3
294,HARRIER,Sin descripcion,1
295,VALLHUND SUIZO,Sin descripcion,1
296,HIMALAYA,Sin descripcion,2
297,VIARKA,Sin descripcion,3
298,HOLANDES SANGRE CALIENTE,Sin descripcion,3
299,VIZSLA,Sin descripcion,1
300,HOLSTEIN,Sin descripcion,3
301,HOVAWART,Sin descripcion,1
302,HUNGARO,Sin descripcion,3
303,HUNTER INRLANDES,Sin descripcion,3
304,VLADIMIR,Sin descripcion,3
305,HUSKY SIBERIANO,Sin descripcion,1
306,WALER,Sin descripcion,3
307,IBIZAN HOUND,Sin descripcion,1
308,WALER AUSTRALIANO,Sin descripcion,3
309,JACK RUSSELL TERRIER,Sin descripcion,1
310,WEIMARANER,Sin descripcion,1
311,WELSH CORGI (CARDIGAN),Sin descripcion,1
312,KABARDIN,Sin descripcion,3
313,WELSH CORGI (PEMBROKE),Sin descripcion,1
314,WELSH TERRIER,Sin descripcion,1
315,WEST HIGHLAND WHITE TERRIER,Sin descripcion,1
316,WESTFALIANO,Sin descripcion,3
317,KARABAIR,Sin descripcion,3
318,WHIPPET (LEBREL),Sin descripcion,1
319,KARABAKH,Sin descripcion,3
320,WIELKOPOLSKI,Sin descripcion,3
321,KEESHOND,Sin descripcion,1
322,XOLOITZCUINTLE,Sin descripcion,1
323,KERRY BLUE TERRIER,Sin descripcion,1
324,YORKSHIRE TERRIER,Sin descripcion,1
325,KLADRUBER,Sin descripcion,3
326,MESTIZO,Sin descripcion,16
327,KNABSTRUP,Sin descripcion,3
328,COCKER,Sin descripcion,1
329,BRETON,Sin descripcion,1
330,LABRADOR,Sin descripcion,1
331,GOLDEN RETRIEVER,Sin descripcion,1
332,CHIHUAHUA,Sin descripcion,1
333,CANICHE,Sin descripcion,1
334,CANICHE TOY,Sin descripcion,1
335,COTTON,Sin descripcion,1
336,BICHON HABANERO,Sin descripcion,1
337,VIEJO PASTOR INGLES,Sin descripcion,1
338,CIMARRON,Sin descripcion,1
339,CRUZA PINCHER,Sin descripcion,16
340,CRUZA LABRADOR,Sin descripcion,16
341,CRUZA OVEJERO ALEMAN,Sin descripcion,16
342,CRUZA ROTWEILER,Sin descripcion,16
343,ARRIERO,Sin descripcion,16
344,DOMESTICO PELO CORTO,Sin descripcion,2
345,DOMESTICO PELO LARGO,Sin descripcion,2
346,CRUZA DOGO,Sin descripcion,16
347,CRUZA BARBILLA,Sin descripcion,16
348,CRUZA OVEJERO ALEMAN,Sin descripcion,16
349,CRUZA ARRIERO,Sin descripcion,16
350,CRUZA CIMARRON,Sin descripcion,16
351,CRUZA CANICHE,Sin descripcion,16
352,CRUZA BOXER,Sin descripcion,1
353,CRUZA POMERANIAN,Sin descripcion,1
354,PEQUINES,Sin descripcion,1
355,RASGOLL,Sin descripcion,2
356,CIMARRON X DOGO,Sin descripcion,1
357,FILA X GRAN DANES,Sin descripcion,16
358,ARRIERO C GALGO,Sin descripcion,1
359,CRIOLLO C GRAN DANES,Sin descripcion,1
360,FILA C GRAN DANES,Sin descripcion,1
361,CRUZA GRANDE,Sin descripcion,16
362,ENANO OREJAS CHICAS,Sin descripcion,6
363,CIRIO,Sin descripcion,7
364,PANDA,Sin descripcion,7
365,TELESCOPIO,Sin descripcion,11
366,ABANICO,Sin descripcion,11
367,BURBUJA,Sin descripcion,11
368,CALIFORNIANO,Sin descripcion,6
369,ENANO,Sin descripcion,6
370,CRUZA CON RODESIAN,Sin descripcion,1
371,SCOTISH,Sin descripcion,1
372,CRUZA DALMATA,Sin descripcion,1
373,C DALMATA,Sin descripcion,1
374,CRUZA FOXTER,Sin descripcion,1
375,BARBILLA,Sin descripcion,1
376,BELGA C SIBERIANO,Sin descripcion,1
377,OVEJERO C SIBERIANO,Sin descripcion,1
378,TECKEL,Sin descripcion,1
379,CANICHE C YORKSHIRE,Sin descripcion,1
380,PASTOR INGLES,Sin descripcion,1
381,OLD ENGLISH,Sin descripcion,1
382,AUSTRALIAN CATTLE DOG,Sin descripcion,1
383,CRUZA SIBERIANO,Sin descripcion,1
384,WEST HIGHLAND WHITE,Sin descripcion,1
385,CRUZA DOBERMAN,Sin descripcion,1
386,CRUZA SHIH TZU,Sin descripcion,16
387,PRESA CANARIO,Sin descripcion,1
388,CRUZA PRESA CANARIO,Sin descripcion,1
389,PITBULL,Sin descripcion,1
390,BENGAL,Sin descripcion,2
391,BRITANICO PELO CORTO,Sin descripcion,16
392,CRUZA PITBULL,Sin descripcion,16
393,OVEJERO NEGRO LINEA DE TRABAJO,Sin descripcion,16
394,CRUZA COCKER,Sin descripcion,16
395,CRUZA FILA X LABRADOR,Sin descripcion,1
396,CRUZA COLLIE,Sin descripcion,1
397,CRUZA C/CHOW CHOW,Sin descripcion,1
398,KELPI,Sin descripcion,1
399,CANE CORSO,Sin descripcion,1
400,CRUZA DOGO- SCHNAUZER,Sin descripcion,1
401,CRUZA WEIMARANER,Sin descripcion,16
402,SAGRADO DE BIRMANIA,Sin descripcion,2
403,CRUZA PEQUINES,Sin descripcion,1
404,OVEJERO BELGA (MARINUA),Sin descripcion,1
405,CRUZA MASTIN X FILA,Sin descripcion,16
406,CRUZA GALGO,Sin descripcion,16
407,PASTOR BLANCO SUIZO,Sin descripcion,16
408,CRUZA YORKSHIRE,Sin descripcion,16
409,CAVALIER KING CHARLES,Sin descripcion,16
410,MAINE COON,Sin descripcion,2
411,AMERICAN BULLY,Sin descripcion,16
412,CORGI,Sin descripcion,16
413,PASTOR AUSTRALIANO,Sin descripcion,1
414,LABRADOODLE,Sin descripcion,1
500,SIN RAZA,Sin descripcion,16
